order_date,city,delivery_order_count,paused_time_minutes,speed_time_minutes,transit_time_minutes,delivery_distance_meters,average_retail_price,weekday,product,state
2021-01-01,CURITIBA,12,0.7625000000000001,4.155,11.009166666666667,2709.4166666666665,4.172,4,GASOLINA COMUM,PR
2021-01-01,PORTO ALEGRE,77,4.979753086419754,7.069876543209876,19.681851851851853,3426.3333333333335,4.626,4,GASOLINA COMUM,RS
2021-01-01,RIO DE JANEIRO,217,3.880779220779221,7.315281385281385,20.144025974025976,2704.995670995671,4.968,4,GASOLINA COMUM,RJ
2021-01-01,SÃO PAULO,305,11.552848837209302,15.456395348837209,28.905843023255816,3042.404069767442,4.235,4,GASOLINA COMUM,SP
2021-01-02,CURITIBA,156,2.226875,6.6455,13.062812500000001,2914.125,4.172,5,GASOLINA COMUM,PR
2021-01-02,PORTO ALEGRE,142,5.566554054054055,7.637364864864864,17.813243243243242,3404.0,4.626,5,GASOLINA COMUM,RS
2021-01-02,RIO DE JANEIRO,574,10.367076205287713,15.052690513219284,116.57015552099533,2806.2519440124415,4.968,5,GASOLINA COMUM,RJ
2021-01-02,SÃO PAULO,489,5.096718146718146,8.77918918918919,22.39791505791506,2748.7471042471043,4.235,5,GASOLINA COMUM,SP
2021-01-03,CURITIBA,172,2.7153488372093024,6.465348837209302,12.454244186046513,2577.3023255813955,4.239,6,GASOLINA COMUM,PR
2021-01-03,PORTO ALEGRE,153,2.703354037267081,5.264347826086957,56.62049689440994,3567.1490683229813,4.63,6,GASOLINA COMUM,RS
2021-01-03,RIO DE JANEIRO,672,5.0821067821067825,8.874531024531025,211.39606060606062,2775.070707070707,4.984,6,GASOLINA COMUM,RJ
2021-01-03,SÃO PAULO,759,3.695806451612903,7.718038709677419,25.046877419354836,2695.602580645161,4.283,6,GASOLINA COMUM,SP
2021-01-04,CURITIBA,89,2.3226666666666667,7.155222222222222,12.645,2617.5777777777776,4.239,0,GASOLINA COMUM,PR
2021-01-04,PORTO ALEGRE,164,2.619404761904762,4.351309523809523,42.028035714285714,2998.5714285714284,4.63,0,GASOLINA COMUM,RS
2021-01-04,RIO DE JANEIRO,430,4.326244444444444,7.7893333333333326,510.38040000000007,2656.6,4.984,0,GASOLINA COMUM,RJ
2021-01-04,SÃO PAULO,458,3.327478260869565,7.093891304347826,25.039608695652174,5594.791304347826,4.283,0,GASOLINA COMUM,SP
2021-01-05,CURITIBA,95,1.8481250000000002,6.2078125,12.712708333333333,2611.9166666666665,4.239,1,GASOLINA COMUM,PR
2021-01-05,PORTO ALEGRE,130,2.3782352941176472,4.299117647058823,22.725367647058825,3438.529411764706,4.63,1,GASOLINA COMUM,RS
2021-01-05,RIO DE JANEIRO,435,4.684035087719298,8.122763157894736,185.6535745614035,2576.190789473684,4.984,1,GASOLINA COMUM,RJ
2021-01-05,SÃO PAULO,429,4.283840909090909,8.381704545454545,192.96836363636365,2617.518181818182,4.283,1,GASOLINA COMUM,SP
2021-01-06,CURITIBA,78,1.9173076923076924,6.327051282051282,12.609615384615385,2655.102564102564,4.239,2,GASOLINA COMUM,PR
2021-01-06,PORTO ALEGRE,142,4.5537931034482755,6.4431724137931035,18.781724137931032,3256.503448275862,4.63,2,GASOLINA COMUM,RS
2021-01-06,RIO DE JANEIRO,460,4.881666666666666,8.764229166666667,1204.986625,2629.34375,4.984,2,GASOLINA COMUM,RJ
2021-01-06,SÃO PAULO,463,7.7189451476793245,11.608881856540084,27.640675105485233,2688.227848101266,4.283,2,GASOLINA COMUM,SP
2021-01-07,CURITIBA,76,1.5325974025974027,5.547402597402597,13.29103896103896,2727.4285714285716,4.239,3,GASOLINA COMUM,PR
2021-01-07,PORTO ALEGRE,125,2.267244094488189,4.004881889763779,36.228425196850395,3146.527559055118,4.63,3,GASOLINA COMUM,RS
2021-01-07,RIO DE JANEIRO,444,4.399384288747346,8.19452229299363,29.963609341825904,2638.331210191083,4.984,3,GASOLINA COMUM,RJ
2021-01-07,SÃO PAULO,557,5.9417107583774245,9.823580246913581,24.424303350970018,2737.8553791887125,4.283,3,GASOLINA COMUM,SP
2021-01-08,CURITIBA,95,1.938421052631579,5.511894736842105,14.790736842105265,2511.4210526315787,4.239,4,GASOLINA COMUM,PR
2021-01-08,PORTO ALEGRE,175,2.2602717391304346,3.7409239130434786,72.97358695652174,3183.554347826087,4.63,4,GASOLINA COMUM,RS
2021-01-08,RIO DE JANEIRO,514,3.820521415270018,7.564040968342644,171.6863873370577,2625.0391061452515,4.984,4,GASOLINA COMUM,RJ
2021-01-08,SÃO PAULO,635,8.881757575757575,12.452454545454547,22.39607575757576,2771.469696969697,4.283,4,GASOLINA COMUM,SP
2021-01-09,CURITIBA,99,1.9320388349514563,5.448834951456311,13.146601941747573,2932.106796116505,4.239,5,GASOLINA COMUM,PR
2021-01-09,PORTO ALEGRE,134,2.27431654676259,3.9675539568345326,72.06395683453238,3284.179856115108,4.63,5,GASOLINA COMUM,RS
2021-01-09,RIO DE JANEIRO,603,4.147728706624606,8.18794952681388,31.277665615141956,2678.3312302839117,4.984,5,GASOLINA COMUM,RJ
2021-01-09,SÃO PAULO,596,8.286189710610932,12.044935691318328,214.79483922829579,2825.887459807074,4.283,5,GASOLINA COMUM,SP
2021-01-10,CURITIBA,158,2.0752201257861635,5.178238993710692,12.752955974842768,2474.3459119496856,4.301,6,GASOLINA COMUM,PR
2021-01-10,PORTO ALEGRE,158,1.9840123456790124,3.98283950617284,17.375864197530863,3542.8395061728397,4.729,6,GASOLINA COMUM,RS
2021-01-10,RIO DE JANEIRO,664,5.34859799713877,9.633948497854078,23.517210300429184,2982.5565092989987,4.961,6,GASOLINA COMUM,RJ
2021-01-10,SÃO PAULO,723,10.057113665389528,14.292503192848022,176.8787994891443,2617.6500638569605,4.31,6,GASOLINA COMUM,SP
2021-01-11,CURITIBA,99,1.7886000000000002,5.603899999999999,13.9068,2614.31,4.301,0,GASOLINA COMUM,PR
2021-01-11,PORTO ALEGRE,166,4.304176470588236,6.705117647058824,17.02629411764706,3157.735294117647,4.729,0,GASOLINA COMUM,RS
2021-01-11,RIO DE JANEIRO,379,3.8498979591836737,8.008826530612245,31.078137755102038,2653.8979591836733,4.961,0,GASOLINA COMUM,RJ
2021-01-11,SÃO PAULO,466,7.463091286307054,11.304356846473029,54.597717842323654,2662.5871369294605,4.31,0,GASOLINA COMUM,SP
2021-01-12,CURITIBA,95,2.034183673469388,5.576632653061225,15.040510204081633,2792.1020408163267,4.301,1,GASOLINA COMUM,PR
2021-01-12,PORTO ALEGRE,155,2.5321084337349395,4.276506024096386,218.52548192771087,3163.2289156626507,4.729,1,GASOLINA COMUM,RS
2021-01-12,RIO DE JANEIRO,443,3.8838961038961037,8.032012987012987,204.0280735930736,2607.1103896103896,4.961,1,GASOLINA COMUM,RJ
2021-01-12,SÃO PAULO,498,9.867316602316603,13.79992277992278,23.382548262548262,2435.7915057915056,4.31,1,GASOLINA COMUM,SP
2021-01-13,CURITIBA,96,2.3509375,5.514583333333333,14.081770833333332,2811.5208333333335,4.301,2,GASOLINA COMUM,PR
2021-01-13,PORTO ALEGRE,131,1.981654135338346,3.606015037593985,16.009323308270677,3215.1052631578946,4.729,2,GASOLINA COMUM,RS
2021-01-13,RIO DE JANEIRO,493,4.323898635477582,8.329025341130604,214.36877192982456,2698.7504873294347,4.961,2,GASOLINA COMUM,RJ
2021-01-13,SÃO PAULO,462,3.450230125523013,7.420983263598327,270.3229707112971,2611.2594142259413,4.31,2,GASOLINA COMUM,SP
2021-01-14,CURITIBA,89,2.8356521739130436,5.956630434782609,14.47,2946.086956521739,4.301,3,GASOLINA COMUM,PR
2021-01-14,PORTO ALEGRE,121,1.7946341463414635,3.649186991869919,17.812357723577236,3095.6341463414633,4.729,3,GASOLINA COMUM,RS
2021-01-14,RIO DE JANEIRO,433,4.466357466063348,8.528190045248868,84.60477375565613,2574.475113122172,4.961,3,GASOLINA COMUM,RJ
2021-01-14,SÃO PAULO,524,7.122577696526508,11.297586837294332,83.9718281535649,2689.312614259598,4.31,3,GASOLINA COMUM,SP
2021-01-15,CURITIBA,91,2.1346808510638295,5.208404255319149,13.882659574468086,2868.723404255319,4.301,4,GASOLINA COMUM,PR
2021-01-15,PORTO ALEGRE,157,2.259751552795031,4.291428571428571,17.11577639751553,3444.6211180124224,4.729,4,GASOLINA COMUM,RS
2021-01-15,RIO DE JANEIRO,556,3.6674255691768827,7.669124343257443,119.33017513134851,5696.5971978984235,4.961,4,GASOLINA COMUM,RJ
2021-01-15,SÃO PAULO,735,13.980570388349514,18.515473300970875,186.98191747572815,2613.983009708738,4.31,4,GASOLINA COMUM,SP
2021-01-16,CURITIBA,132,2.4076119402985077,5.752238805970149,13.602313432835821,2827.7014925373132,4.301,5,GASOLINA COMUM,PR
2021-01-16,PORTO ALEGRE,197,2.107647058823529,4.145441176470588,454.39382352941175,3299.3186274509803,4.729,5,GASOLINA COMUM,RS
2021-01-16,RIO DE JANEIRO,660,4.911090387374462,9.428880918220948,285.9124103299856,2653.5150645624103,4.961,5,GASOLINA COMUM,RJ
2021-01-16,SÃO PAULO,669,6.547045454545454,10.572017045454546,22.922244318181818,2596.068181818182,4.31,5,GASOLINA COMUM,SP
2021-01-17,CURITIBA,123,1.63552,4.5541599999999995,14.15856,2693.952,4.326,6,GASOLINA COMUM,PR
2021-01-17,PORTO ALEGRE,162,2.324823529411765,4.701352941176471,16.16335294117647,3543.435294117647,4.761,6,GASOLINA COMUM,RS
2021-01-17,RIO DE JANEIRO,723,6.214533844189016,10.552733077905494,326.08298850574715,6004.606641123883,5.015,6,GASOLINA COMUM,RJ
2021-01-17,SÃO PAULO,686,8.226629526462396,12.70608635097493,19.075389972144844,2697.058495821727,4.344,6,GASOLINA COMUM,SP
2021-01-18,CURITIBA,121,4.540403225806451,8.125887096774195,15.495,2624.951612903226,4.326,0,GASOLINA COMUM,PR
2021-01-18,PORTO ALEGRE,132,2.6515789473684213,4.175338345864662,26.836240601503757,3314.0075187969924,4.761,0,GASOLINA COMUM,RS
2021-01-18,RIO DE JANEIRO,503,6.099386973180077,10.433639846743294,54.279731800766285,2656.95785440613,5.015,0,GASOLINA COMUM,RJ
2021-01-18,SÃO PAULO,458,9.82672877846791,14.288053830227744,23.755797101449275,3361.7619047619046,4.344,0,GASOLINA COMUM,SP
2021-01-19,CURITIBA,105,2.1031132075471697,5.498773584905661,12.266132075471699,2427.254716981132,4.326,1,GASOLINA COMUM,PR
2021-01-19,PORTO ALEGRE,114,2.282260869565217,4.195565217391304,14.030347826086956,2946.086956521739,4.761,1,GASOLINA COMUM,RS
2021-01-19,RIO DE JANEIRO,471,5.772093495934959,9.804552845528455,226.90806910569103,2592.10162601626,5.015,1,GASOLINA COMUM,RJ
2021-01-19,SÃO PAULO,445,16.524637362637364,20.991274725274728,28.711692307692307,2592.0307692307692,4.344,1,GASOLINA COMUM,SP
2021-01-20,CURITIBA,92,1.7655913978494622,4.791182795698925,13.501935483870968,2272.9032258064517,4.326,2,GASOLINA COMUM,PR
2021-01-20,PORTO ALEGRE,122,2.1908130081300814,4.059186991869918,15.17382113821138,3264.9024390243903,4.761,2,GASOLINA COMUM,RS
2021-01-20,RIO DE JANEIRO,625,4.7238612368024135,9.233242835595778,31.396696832579185,2724.164404223228,5.015,2,GASOLINA COMUM,RJ
2021-01-20,SÃO PAULO,499,11.358582677165353,15.240157480314961,39.149704724409446,2746.75,4.344,2,GASOLINA COMUM,SP
2021-01-21,CURITIBA,114,2.5351304347826087,5.640173913043478,13.584434782608696,2783.904347826087,4.326,3,GASOLINA COMUM,PR
2021-01-21,PORTO ALEGRE,157,1.9196226415094337,3.5962893081761003,19.563899371069184,2933.635220125786,4.761,3,GASOLINA COMUM,RS
2021-01-21,RIO DE JANEIRO,439,3.36255033557047,7.85261744966443,60.91004474272931,2716.606263982103,5.015,3,GASOLINA COMUM,RJ
2021-01-21,SÃO PAULO,519,35.51298872180451,39.74048872180451,37.864285714285714,2828.716165413534,4.344,3,GASOLINA COMUM,SP
2021-01-22,CURITIBA,122,1.8046456692913386,4.6517322834645665,13.782125984251968,2738.6535433070867,4.326,4,GASOLINA COMUM,PR
